State,Certified,Certified-Expired,Denied,Withdrawn
,10089,6544,4412,1756,44.25,28.7,7.7,19.35
H-2B,137,113,147,15,33.25,27.43,3.64,35.68
H-2A,39,12,100,6,24.84,7.64,3.82,63.7
U-1,0,2,0,0,0.0,100.0,0.0,0.0
T-1,1,2,1,0,25.0,50.0,0.0,25.0
F-2,447,316,116,81,46.56,32.92,8.44,12.08
F-1,7392,5162,1439,952,49.46,34.54,6.37,9.63
K-1,0,0,1,1,0.0,0.0,50.0,50.0
G-1,6,2,3,0,54.55,18.18,0.0,27.27
M-2,1,1,0,1,33.33,33.33,33.33,0.01
G-5,24,19,16,5,37.5,29.69,7.81,25.0
G-4,54,44,4,6,50.0,40.74,5.56,3.7
B-2,1316,949,894,169,39.54,28.52,5.08,26.86
H-4,365,267,61,46,49.39,36.13,6.22,8.26
L-1,9946,8796,559,637,49.88,44.12,3.19,2.81
L-2,276,198,29,28,51.98,37.29,5.27,5.46
J-1,489,310,105,58,50.83,32.22,6.03,10.92
M-1,14,5,6,1,53.85,19.23,3.85,23.07
H-3,18,14,4,1,48.65,37.84,2.7,10.81
TN,2194,1683,190,196,51.47,39.48,4.6,4.45
O-2,7,8,4,1,35.0,40.0,5.0,20.0
O-1,405,292,64,44,50.31,36.27,5.47,7.95
B-1,216,129,243,29,35.01,20.91,4.7,39.38
AOS,0,1,0,0,0.0,100.0,0.0,0.0
Parolee,1052,1274,177,175,39.28,47.57,6.53,6.62
O-3,6,4,1,1,50.0,33.33,8.33,8.34
A-3,7,7,14,1,24.14,24.14,3.45,48.27
P-4,3,1,2,0,50.0,16.67,0.0,33.33
EWI,512,552,814,77,26.19,28.24,3.94,41.63
I,37,29,11,5,45.12,35.37,6.1,13.41
A1/A2,66,52,31,6,42.58,33.55,3.87,20.0
H-1B,139312,116842,14310,12551,49.22,41.28,4.43,5.07
H-1C,5,1,1,1,62.5,12.5,12.5,12.5
H-1A,15,23,2,1,36.59,56.1,2.44,4.87
Q,2,2,1,0,40.0,40.0,0.0,20.0
D-1,1,2,3,0,16.67,33.33,0.0,50.0
E-1,241,189,83,36,43.9,34.43,6.56,15.11
E-3,478,311,48,41,54.44,35.42,4.67,5.47
E-2,1973,1434,534,296,46.57,33.84,6.99,12.6
Not in USA,4191,2581,941,875,48.8,30.05,10.19,10.96
C-3,2,0,4,1,28.57,0.0,14.29,57.14
TD,9,2,1,3,60.0,13.33,20.0,6.67
C-1,15,10,13,2,37.5,25.0,5.0,32.5
R-2,2,2,1,2,28.57,28.57,28.57,14.29
R-1,54,36,12,10,48.21,32.14,8.93,10.72
P-1,72,56,31,19,40.45,31.46,10.67,17.42
P-2,0,1,0,1,0.0,50.0,50.0,0.0
P-3,18,11,7,4,45.0,27.5,10.0,17.5
VWT,18,15,24,1,31.03,25.86,1.72,41.39
H-1B1,248,181,90,32,45.01,32.85,5.81,16.33
Parol,1,4,0,1,16.67,66.67,16.67,-0.01
J-2,55,33,7,6,54.46,32.67,5.94,6.93
N,1,2,1,0,25.0,50.0,0.0,25.0
AOS/H-1B,2,0,0,0,100.0,0.0,0.0,0.0
TPS,93,55,30,9,49.73,29.41,4.81,16.05
V-2,1,0,1,0,50.0,0.0,0.0,50.0
VWB,5,3,2,0,50.0,30.0,0.0,20.0
