Country,Certified,Certified-Expired,Denied,Withdrawn
AFGHANISTAN,17,6,3,1
ALBANIA,69,53,15,8
ALGERIA,17,16,3,4
ANDORRA,0,1,0,0
ANGOLA,8,5,1,2
ANTIGUA AND BARBUDA,7,5,0,1
ARGENTINA,570,433,129,57
ARMENIA,80,59,17,11
ARUBA,0,0,1,0
AUSTRALIA,860,657,96,83
AUSTRIA,110,99,12,10
AZERBAIJAN,42,24,3,5
BAHAMAS,47,40,13,5
BAHRAIN,7,3,0,0
BANGLADESH,560,407,82,49
BARBADOS,34,19,10,3
BELARUS,248,226,23,18
BELGIUM,121,115,18,11
BELIZE,22,11,10,1
BENIN,10,12,6,0
BERMUDA,5,4,2,1
BHUTAN,4,3,2,1
BOLIVIA,91,71,38,5
BOSNIA AND HERZEGOVINA,23,18,9,3
BOTSWANA,11,6,0,1
BRAZIL,1497,1032,264,126
BRITISH VIRGIN ISLANDS,1,1,0,0
BRUNEI,3,0,0,0
BULGARIA,321,259,43,25
BURKINA FASO,8,7,2,1
MYANMAR,37,38,4,4
BURUNDI,1,3,1,0
CAMBODIA,26,16,10,4
CAMEROON,50,62,14,3
CANADA,7107,6111,890,695
CAPE VERDE,1,0,0,1
CAYMAN ISLANDS,0,3,0,0
CENTRAL AFRICAN REPUBLIC,0,2,0,0
CHAD,0,1,0,0
CHILE,213,170,41,25
CHINA,14647,11207,1600,1407
COLOMBIA,790,710,246,97
COMOROS,0,0,1,0
COSTA RICA,114,121,19,13
COTE d'IVOIRE,9,3,1,0
CROATIA,60,41,4,7
CUBA,0,0,1,0
CYPRUS,27,33,1,3
CZECH REPUBLIC,98,82,21,9
DEMOCRATIC REPUBLIC OF THE CONGO,9,6,5,1
DENMARK,86,81,28,12
DOMINICA,16,15,7,0
DOMINICAN REPUBLIC,156,139,61,15
ECUADOR,293,251,248,27
EGYPT,466,422,67,55
EL SALVADOR,171,122,138,18
EQUATORIAL GUINEA,1,0,0,0
ERITREA,4,6,0,1
ESTONIA,27,18,2,1
ETHIOPIA,90,62,15,9
FIJI,7,4,1,1
FINLAND,109,83,11,6
FRANCE,1566,1289,178,140
GABON,5,2,1,1
GAMBIA,8,3,19,0
GEORGIA,47,28,4,4
GERMANY,1193,937,129,105
GHANA,201,159,20,23
GREECE,300,218,52,35
GRENADA,35,28,15,5
GUATEMALA,128,112,132,12
GUINEA,2,3,1,1
GUINEA BISSAU,3,0,0,0
GUYANA,26,19,10,5
HAITI,28,17,12,3
HONDURAS,137,122,79,16
HONG KONG,311,235,29,47
HUNGARY,149,111,31,10
ICELAND,32,22,3,4
INDIA,101906,85161,9518,8573
INDONESIA,399,379,74,36
IRAN,1222,864,122,148
IRAQ,14,15,4,2
IRELAND,461,355,58,44
ISRAEL,901,801,108,104
ITALY,901,756,187,104
IVORY COAST,12,12,4,1
JAMAICA,229,248,146,39
JAPAN,1421,1123,297,129
JORDAN,302,257,43,26
KAZAKHSTAN,64,49,11,5
KENYA,211,174,47,27
KIRIBATI,1,0,0,0
KOSOVO,10,16,5,2
KUWAIT,12,8,3,3
KYRGYZSTAN,24,21,2,1
LAOS,3,1,4,0
LATVIA,35,31,4,5
LEBANON,309,260,47,36
LESOTHO,2,1,1,1
LIBERIA,3,4,1,0
LIBYA,51,21,3,1
LIECHTENSTEIN,0,1,0,0
LITHUANIA,54,34,11,4
LUXEMBOURG,6,8,1,0
MACAU,19,9,1,2
MACEDONIA,36,31,7,6
MADAGASCAR,6,7,0,0
MALAWI,10,7,2,0
MALAYSIA,498,458,54,49
MALDIVES,1,3,0,0
MALI,9,9,3,2
MALTA,2,6,0,0
MARSHALL ISLANDS,2,2,2,0
MAURITANIA,1,3,0,0
MAURITIUS,22,10,4,4
MEXICO,3566,2976,2022,397
MOLDOVA,66,52,27,7
MONACO,0,0,1,0
MONGOLIA,115,79,56,27
MONTENEGRO,9,2,0,0
MOROCCO,85,74,16,11
MOZAMBIQUE,1,2,0,0
NAMIBIA,6,0,0,0
NEPAL,1511,1199,185,152
NETHERLANDS,256,202,40,31
NETHERLANDS ANTILLES,0,1,0,0
NEW ZEALAND,193,155,29,19
NICARAGUA,39,24,10,2
NIGER,3,2,2,0
NIGERIA,569,455,78,45
NORTH KOREA,0,3,1,0
NORWAY,56,35,3,3
OMAN,2,4,0,0
PAKISTAN,1930,1490,356,186
PALESTINE,33,32,8,8
PALESTINIAN TERRITORIES,5,4,0,3
PANAMA,59,38,13,7
PAPUA NEW GUINEA,1,0,0,0
PARAGUAY,27,23,17,1
PERU,346,300,137,38
PHILIPPINES,3547,3060,1575,449
POLAND,627,474,238,85
PORTUGAL,162,131,37,13
QATAR,0,1,0,0
REPUBLIC OF THE CONGO,0,1,1,0
ROMANIA,442,404,77,46
RUSSIA,1218,1077,123,106
RWANDA,12,3,1,3
SAINT VINCENT AND THE GRENADINES,5,1,4,1
SAMOA,0,0,1,0
SAO TOME AND PRINCIPE,1,0,0,1
SAUDI ARABIA,31,28,9,1
SENEGAL,33,24,12,5
REPUBLIC OF SERBIA,116,75,6,11
SERBIA AND MONTENEGRO,31,33,8,7
SEYCHELLES,1,2,0,0
SIERRA LEONE,5,3,0,0
SINGAPORE,401,299,33,32
SINT MAARTEN,0,0,0,1
SLOVAKIA,49,75,29,10
SLOVENIA,27,9,6,2
SOMALIA,0,1,0,0
SOUTH AFRICA,364,257,89,41
SOUTH KOREA,11254,8415,2585,2507
SOUTH SUDAN,1,1,0,0
SOVIET UNION,0,1,0,0
SPAIN,715,578,81,73
SRI LANKA,332,284,48,40
ST KITTS AND NEVIS,9,6,3,1
ST LUCIA,24,20,10,2
ST VINCENT,5,5,2,0
SUDAN,15,10,1,4
SURINAME,7,2,2,0
SWAZILAND,1,4,0,0
SWEDEN,231,191,31,23
SWITZERLAND,133,101,9,14
SYRIA,226,202,26,28
TAIWAN,2012,1682,250,229
TAJIKISTAN,12,13,4,1
UNITED REPUBLIC OF TANZANIA,37,40,9,3
THAILAND,415,330,126,53
TOGO,10,6,1,2
TRINIDAD AND TOBAGO,179,142,51,9
TUNISIA,27,32,4,2
TURKEY,1271,994,167,119
TURKMENISTAN,13,17,5,1
TURKS AND CAICOS ISLANDS,1,1,1,0
UGANDA,26,27,10,6
UKRAINE,793,568,79,62
UNITED ARAB EMIRATES,3,6,1,3
UNITED KINGDOM,2383,1924,407,258
UNITED STATES OF AMERICA,243,240,129,65
URUGUAY,70,43,12,2
UZBEKISTAN,66,50,9,4
VANUATU,2,1,0,0
VENEZUELA,1344,983,283,128
VIETNAM,1258,606,252,174
YEMEN,12,7,2,0
YUGOSLAVIA,4,3,1,0
ZAMBIA,24,22,3,2
ZIMBABWE,87,63,13,13
